"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_lbs","reps","distance_miles","duration_seconds","rpe"
"Afternoon workout 💪","29 Dec 2025, 12:36","29 Dec 2025, 14:23","","Lying Leg Curl (Machine)",,"",1,"normal",140,8,,,
"Afternoon workout 💪","28 Dec 2025, 14:45","28 Dec 2025, 15:33","","Shoulder Press (Machine Plates)",,"",0,"normal",115,12,,,
"Afternoon workout 💪","28 Dec 2025, 14:45","28 Dec 2025, 15:33","","Shoulder Press (Machine Plates)",,"",1,"normal",135,7,,,
"Afternoon workout 💪","28 Dec 2025, 14:45","28 Dec 2025, 15:33","","Lat Pulldown (Cable)",,"",0,"normal",187,9,,,
"Afternoon workout 💪","28 Dec 2025, 14:45","28 Dec 2025, 15:33","","Lat Pulldown (Cable)",,"",1,"normal",187,7,,,
"Afternoon workout 💪","28 Dec 2025, 14:45","28 Dec 2025, 15:33","","T Bar Row",,"",0,"normal",115,10,,,
"Afternoon workout 💪","28 Dec 2025, 14:45","28 Dec 2025, 15:33","","T Bar Row",,"",1,"normal",115,10,,,
"Afternoon workout 💪","28 Dec 2025, 14:45","28 Dec 2025, 15:33","","Rear Delt Reverse Fly (Cable)",,"",0,"normal",15,13,,,
"Afternoon workout 💪","28 Dec 2025, 14:45","28 Dec 2025, 15:33","","Rear Delt Reverse Fly (Cable)",,"",1,"normal",15,14,,,
"Afternoon workout 💪","28 Dec 2025, 14:45","28 Dec 2025, 15:33","","Preacher Curl (Machine)",,"",0,"normal",80,9,,,
"Afternoon workout 💪","28 Dec 2025, 14:45","28 Dec 2025, 15:33","","Preacher Curl (Machine)",,"",1,"normal",80,11,,,
"Morning workout ☀️","27 Dec 2025, 12:09","27 Dec 2025, 12:43","","Bench Press (Barbell)",,"",0,"normal",225,7,,,
"Morning workout ☀️","27 Dec 2025, 12:09","27 Dec 2025, 12:43","","Bench Press (Barbell)",,"",1,"normal",235,4,,,
"Morning workout ☀️","27 Dec 2025, 12:09","27 Dec 2025, 12:43","","Incline Bench Press (Barbell)",,"",0,"normal",165,9,,,
"Morning workout ☀️","27 Dec 2025, 12:09","27 Dec 2025, 12:43","","Incline Bench Press (Barbell)",,"",1,"normal",165,7,,,
"Morning workout ☀️","27 Dec 2025, 12:09","27 Dec 2025, 12:43","","Single Arm Lateral Raise (Cable)",,"",0,"normal",15,11,,,
"Morning workout ☀️","27 Dec 2025, 12:09","27 Dec 2025, 12:43","","Single Arm Lateral Raise (Cable)",,"",1,"normal",15,8,,,
